1.30	-2.27		
-29	2.27	-3.25		
-29	-166.72	-3.25		
-29	2.27	-3.25		
-29	-166.72	-166.72		
-29	2.27	-3.25		
-29	2.27	-3.25		
-29	2.27	-3.25		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-3.25		
-28	-166.72	-2.93		
-28	2.27	-3.25		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-27	-166.72	-2.93		
-27	-166.72	-2.93		
-27	2.27	-2.93		
-27	2.27	-2.93		
-27	-166.72	-2.93		
-27	2.27	-2.93		
-27	-166.72	-2.93		
-27	2.27	-2.93		
-27	-166.72	-166.72		
-27	-166.72	-2.93		
-27	-166.72	-2.93		
-27	-166.72	-2.93		
-27	-166.72	-2.93		
-27	2.27	-2.93		
-27	-166.72	-2.93		
-27	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-28	2.27	-2.93		
-29	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-27	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	-166.72	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-29	2.27	-2.93		
-29	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-29	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-29	2.27	-2.93		
-29	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-29	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-28	2.27	-2.93		
-29	-166.72	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-166.72		
-28	-166.72	-2.93		
-27	2.27	-2.93		
-27	-166.72	-2.93		
-27	-166.72	-2.93		
-27	-166.72	-2.93		
-27	2.27	-2.93		
-27	-166.72	-2.93		
-27	2.27	-2.93		
-27	-166.72	-2.93		
-27	2.27	-2.93		
-27	-166.72	-2.93		
-27	2.27	-2.93		
-27	2.27	-2.93		
-27	2.27	-2.93		
-28	2.27	-2.93		
-28	-166.72	-2.93		
-28	2.27	-2.93		
-29	-166.72	-2.93		
-28	-166.72	-2.93		
-29	-166.72	-166.72		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-28	-166.72	-2.93		
-27	-166.72	-2.93		
-27	2.27	-2.93		
-27	-166.72	-2.93		
-26	2.27	-2.93		
-25	-166.72	-2.93		
-24	2.27	-2.93		
-23	2.27	-2.93		
-21	-166.72	-2.93		
-20	2.27	-2.93		
-19	-166.72	-3.25		
-18	2.27	-2.93		
-17	-166.72	-2.93		
-16	2.27	-2.93		
-15	-166.72	-2.93		
-15	2.27	-2.93		
-14	-166.72	-2.93		
-13	2.27	-2.93		
-12	-166.72	-2.93		
-11	2.27	-2.93		
-10	-166.72	-2.93		
-9	2.27	-2.93		
-8	-166.72	-3.25		
-8	2.27	-3.25		
-7	-166.72	-3.57		
-7	2.60	-3.57		
-6	-166.72	-3.57		
-6	2.60	-3.90		
-5	-166.72	-3.90		
-5	2.93	-4.23		
-4	-166.72	-4.55		
-4	2.93	-4.88		
-3	-166.72	-5.20		
-3	3.57	-5.52		
-3	-166.72	-5.85		
-3	3.90	-6.50		
-2	-166.72	-6.82		
-2	4.23	-7.15		
-2	4.23	-7.48		
-2	-166.72	-7.80		
-2	4.88	-7.80		
-2	-166.72	-8.13		
-2	5.52	-8.45		
-2	-166.72	-9.10		
-3	6.17	-9.10		
-3	-166.72	-9.75		
-3	6.82	-10.07		
-3	-166.72	-10.40		
-3	7.48	-10.72		
-4	-166.72	-11.05		
-4	7.80	-11.05		
-5	-166.72	-11.38		
-5	8.45	-11.70		
-6	-166.72	-11.70		
-6	8.77	-12.02		
-7	-166.72	-12.02		
-7	9.10	-12.35		
-7	-166.72	-12.35		
-8	9.42	-12.35		
-9	-166.72	-12.35		
-9	9.75	-12.35		
-10	9.75	-12.35		
-11	-166.72	-12.35		
-11	9.75	-12.35		
-12	-166.72	-12.35		
-12	9.75	-12.35		
-13	-166.72	-12.35		
-13	9.75	-12.35		
-14	9.75	-12.35		
-15	9.75	-12.35		
-15	9.75	-12.35		
-16	9.75	-12.35		
-17	-166.72	-12.35		
-17	-166.72	-12.35		
-17	-166.72	-12.35		
-17	9.75	-12.35		
-17	-166.72	-12.35		
-17	9.75	-12.35		
-17	9.75	-12.35		
-18	9.75	-12.35		
-18	9.75	-12.35		
-18	9.75	-12.35		
-18	-166.72	-166.72		
-18	9.75	-12.35		
-18	-166.72	-12.35		
-18	-166.72	-12.35		
-18	9.75	-12.35		
-18	9.75	-12.35		
-18	-166.72	-12.35		
-18	9.75	-12.35		
-18	9.75	-12.35		
-19	9.75	-12.35		
-19	-166.72	-12.35		
-19	-166.72	-12.35		
-19	9.75	-12.35		
-19	-166.72	-12.35		
-19	9.75	-12.35		
-19	-166.72	-12.02		
-19	9.75	-12.02		
-19	9.75	-12.02		
-19	9.42	-12.02		
-19	-166.72	-12.02		
-19	9.42	-12.02		
-19	-166.72	-11.70		
-18	9.42	-11.70		
-18	-166.72	-11.70		
-18	9.42	-11.70		
-18	-166.72	-11.70		
-18	9.42	-11.70		
-18	-166.72	-11.70		
-18	9.42	-11.70		
-18	-166.72	-11.70		
-18	9.42	-11.70		
-17	-166.72	-11.70		
-17	9.42	-11.70		
-17	-166.72	-11.70		
-17	-166.72	-11.70		
-17	9.42	-11.70		
-17	9.42	-11.70		
-17	-166.72	-11.70		
-17	9.42	-11.70		
-17	-166.72	-11.70		
-17	9.42	-11.70		
-17	-166.72	-11.70		
-17	9.42	-11.70		
-17	9.42	-11.70		
-17	-166.72	-11.70		
-17	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-16	9.42	-11.70		
-16	-166.72	-11.70		
-15	9.42	-11.70		
-15	9.42	-11.70		
-16	-166.72	-11.70		
-15	9.42	-11.70		
-15	-166.72	-11.70		
-15	9.42	-11.70		
-15	-166.72	-11.70		
-15	9.42	-11.70		
-15	-166.72	-11.70		
-15	9.75	-11.70		
-15	-166.72	-11.70		
-15	9.75	-11.70		
-14	-166.72	-11.70		
-15	9.75	-11.70		
-15	9.75	-11.70		
-15	-166.72	-11.70		
-15	9.75	-12.02		
-15	-166.72	-12.02		
-15	9.42	-12.02		
-15	9.75	-12.02		
-15	9.75	-12.02		
-15	9.75	-12.02		
-15	-166.72	-12.02		
-16	9.75	-12.02		
-16	-166.72	-12.02		
-16	9.75	-12.02		
-17	-166.72	-12.02		
-17	9.75	-12.02		
-18	9.75	-12.02		
-18	9.75	-12.02		
-18	-166.72	-12.02		
-18	-166.72	-12.02		
-19	9.75	-12.02		
-19	9.75	-12.02		
-19	-166.72	-12.02		
-20	9.75	-12.02		
-20	-166.72	-12.02		
-20	-166.72	-12.02		
-21	9.75	-12.02		
-21	-166.72	-12.02		
-21	9.75	-12.02		
-21	-166.72	-12.02		
-21	9.75	-12.02		
-22	-166.72	-12.02		
-22	9.75	-12.02		
-22	-166.72	-12.02		
-22	9.75	-12.02		
-22	-166.72	-12.02		
-22	9.75	-12.02		
-22	9.75	-12.02		
-23	-166.72	-12.02		
-23	9.75	-12.02		
-23	9.75	-12.02		
-23	9.75	-12.02		
-24	-166.72	-12.02		
-24	9.75	-12.02		
-25	9.75	-12.02		
-25	9.75	-12.02		
-25	9.75	-12.02		
-26	-166.72	-12.02		
-26	9.75	-12.02		
-25	-166.72	-11.70		
-25	9.75	-11.70		
-24	-166.72	-11.70		
-24	9.75	-11.70		
-24	-166.72	-11.70		
-24	9.42	-11.38		
-24	-166.72	-11.38		
-23	9.42	-11.05		
-23	-166.72	-10.72		
-23	9.10	-10.40		
-22	-166.72	-10.07		
-22	9.10	-10.07		
-22	-166.72	-9.75		
-21	8.77	-9.75		
-21	-166.72	-9.42		
-21	8.77	-9.42		
-20	-166.72	-9.10		
-20	8.77	-9.10		
-19	-166.72	-9.10		
-19	8.45	-9.10		
-18	-166.72	-9.10		
-18	8.45	-9.10		
-17	8.45	-9.10		
-17	-166.72	-9.10		
-17	-166.72	-9.10		
-16	8.45	-9.10		
-16	8.45	-9.10		
-15	8.45	-9.10		
-15	-166.72	-9.10		
-15	8.45	-9.10		
-15	8.45	-9.10		
-14	-166.72	-9.10		
-14	8.45	-9.10		
-14	-166.72	-9.10		
-14	8.45	-9.10		
-13	-166.72	-9.10		
-13	8.45	-9.10		
-13	-166.72	-9.10		
-13	8.45	-9.10		
-13	-166.72	-9.10		
-13	8.45	-9.10		
-12	-166.72	-9.10		
-13	8.45	-9.10		
-13	8.45	-9.10		
-13	-166.72	-8.77		
-12	8.45	-8.77		
-12	8.45	-8.77		
-12	-166.72	-8.77		
-13	-166.72	-8.77		
-13	8.45	-8.77		
-13	-166.72	-8.45		
-13	7.80	-8.13		
-13	-166.72	-7.80		
-13	7.48	-7.48		
-13	-166.72	-6.82		
-13	6.82	-6.50		
-13	6.50	-5.85		
-14	-166.72	-5.52		
-14	5.52	-5.20		
-14	-166.72	-4.23		
-14	4.23	-3.90		
-14	-166.72	-2.60		
-14	3.25	-2.27		
-14	-166.72	-1.30		
-14	2.27	-0.65		
-14	-166.72	0.32		
-14	0.65	0.65		
-14	-166.72	1.95		
-13	-0.32	2.60		
-13	-166.72	3.57		
-12	-1.30	3.90		
-12	-166.72	5.20		
-11	-2.27	5.20		
-10	-166.72	6.17		
-9	-3.25	7.15		
-8	-3.90	7.80		
-7	-166.72	8.45		
-6	-166.72	9.10		
-5	-4.88	9.42		
-4	-166.72	9.75		
-3	-5.85	10.07		
-2	-166.72	10.40		
-1	-6.50	10.40		
0	-6.82	10.72		
1	-166.72	10.72		
2	-7.48	11.05		
4	-166.72	11.05		
5	-7.80	11.05		
7	-166.72	11.05		
8	-7.80	11.05		
10	-166.72	11.05		
11	-7.80	11.05		
13	-166.72	10.72		
14	-7.48	10.40		
15	-166.72	10.07		
16	-7.48	9.42		
18	-166.72	8.77		
19	-6.82	7.80		
20	-166.72	7.15		
21	-166.72	5.85		
22	-5.20	4.88		
23	-3.90	3.57		
25	-166.72	1.63		
25	-1.63	0.32		
26	-0.32	-1.63		
26	1.63	-3.25		
26	-166.72	-5.20		
25	-166.72	-6.50		
24	4.23	-8.13		
23	-166.72	-9.42		
22	6.50	-10.40		
21	-166.72	-12.02		
19	8.77	-13.32		
18	-166.72	-14.95		
16	10.72	-15.60		
15	-166.72	-17.22		
13	12.67	-17.87		
12	-166.72	-18.85		
10	14.30	-19.50		
8	-166.72	-20.47		
6	15.92	-21.12		
4	-166.72	-21.77		
2	17.22	-22.10		
0	-166.72	-22.75		
-1	17.87	-22.75		
-4	-166.72	-23.07		
-6	18.20	-23.07		
-8	-166.72	-166.72		
-9	18.20	-23.07		
-11	18.20	-22.75		
-13	18.20	-22.75		
-15	-166.72	-22.75		
-16	18.20	-22.75		
-18	-166.72	-22.42		
-19	18.20	-22.42		
-21	-166.72	-22.10		
-21	18.20	-21.77		
-23	-166.72	-21.77		
-24	18.20	-21.45		
-25	18.20	-21.45		
-26	-166.72	-21.45		
-27	18.20	-21.12		
-28	-166.72	-21.12		
-28	18.20	-20.80		
-29	-166.72	-20.80		
-30	18.20	-20.80		
-30	-166.72	-20.47		
-31	18.20	-20.47		
-31	-166.72	-20.15		
-32	17.87	-20.15		
-32	-166.72	-19.82		
-32	17.55	-20.15		
-33	-166.72	-19.50		
-33	16.90	-19.17		
-34	-166.72	-18.85		
-34	15.92	-18.52		
-35	-166.72	-17.87		
-35	14.62	-17.55		
-35	-166.72	-166.72		
-35	13.97	-16.57		
-35	13.32	-15.60		
-35	12.67	-14.95		
-36	-166.72	-14.30		
-35	11.70	-13.65		
-36	-166.72	-12.67		
-35	10.72	-12.02		
-35	9.75	-11.05		
-35	8.77	-10.07		
-35	-166.72	-9.10		
-34	-166.72	-8.13		
-34	7.48	-7.48		
-33	-166.72	-6.50		
-33	5.52	-5.85		
-33	4.23	-4.88		
-32	2.93	-3.57		
-32	1.63	-2.27		
-31	0.65	-0.97		
-30	-0.32	0.00		
-29	-1.30	0.97		
-28	-2.60	1.95		
-26	-3.57	3.25		
-25	-4.55	3.90		
-24	-5.52	4.88		
-22	-6.50	5.85		
-21	-7.15	7.15		
-19	-8.13	7.80		
-18	-8.77	8.77		
-16	-9.75	9.42		
-14	-10.40	10.07		
-12	-11.05	10.72		
-10	-11.70	11.38		
-8	-12.02	11.70		
-7	-12.35	12.35		
-5	-12.67	12.67		
-3	-13.00	13.00		
-2	-13.00	13.00		
0	-13.00	13.32		
1	-13.00	13.32		
2	-12.67	13.32		
4	-12.67	13.32		
6	-12.35	13.32		
8	-12.35	13.00		
9	-12.02	12.67		
11	-12.02	12.35		
13	-11.38	12.02		
14	-10.72	11.70		
16	-10.40	11.05		
18	-9.42	10.07		
19	-8.45	9.10		
21	-7.48	8.13		
22	-6.50	7.15		
23	-4.88	5.52		
24	-3.90	3.90		
25	-1.95	2.27		
27	-0.65	0.32		
28	0.65	-1.30		
28	2.60	-3.25		
27	4.23	-5.20		
26	6.17	-7.48		
25	7.80	-8.77		
25	9.42	-11.05		
24	-166.72	-12.67		
22	-166.72	-14.30		
20	12.02	-15.92		
19	13.32	-17.22		
17	14.95	-18.85		
15	16.57	-19.82		
14	17.87	-21.45		
11	-166.72	-22.42		
9	-166.72	-23.07		
7	19.50	-24.05		
4	20.15	-25.02		
1	20.80	-25.35		
0	21.12	-25.67		
-3	-166.72	-25.67		
-5	-166.72	-26.00		
-7	-166.72	-26.00		
-9	22.10	-26.00		
-12	-166.72	-26.00		
-13	22.10	-26.00		
-15	22.10	-25.67		
-18	-166.72	-25.67		
-19	22.10	-25.67		
-21	-166.72	-25.35		
-22	22.10	-25.67		
-23	-166.72	-25.35		
-24	22.10	-25.35		
-26	-166.72	-25.02		
-27	21.77	-25.02		
-28	-166.72	-25.02		
-29	21.77	-25.02		
-30	-166.72	-24.70		
-30	21.77	-24.70		
-31	-166.72	-24.37		
-32	21.45	-24.37		
-33	21.45	-24.37		
-33	-166.72	-24.05		
-34	21.12	-23.72		
-35	-166.72	-23.40		
-35	20.47	-23.07		
-37	-166.72	-22.75		
-37	19.82	-22.10		
-38	-166.72	-21.45		
-38	18.85	-21.12		
-38	-166.72	-20.47		
-38	17.87	-19.82		
-39	-166.72	-19.17		
-39	16.90	-18.85		
-40	15.92	-17.87		
-39	14.62	-16.90		
-40	-166.72	-16.25		
-40	-166.72	-15.27		
-39	13.00	-14.30		
-39	11.70	-13.32		
-39	10.40	-12.35		
-39	-166.72	-11.05		
-39	-166.72	-10.07		
-38	8.45	-9.10		
-38	-166.72	-7.80		
-37	6.50	-6.82		
-37	-166.72	-5.52		
-36	4.23	-4.55		
-35	2.93	-2.93		
-35	1.30	-1.63		
-34	-166.72	-0.32		
-33	-0.32	0.65		
-32	-1.95	1.95		
-31	-166.72	3.25		
-29	-3.57	3.90		
-28	-166.72	5.20		
-26	-5.85	6.17		
-25	-6.82	7.15		
-23	-8.45	8.13		
-22	-9.42	9.42		
-20	-10.40	10.40		
-18	-11.38	11.70		
-17	-12.35	12.35		
-15	-13.32	13.65		
-13	-13.97	14.30		
-11	-14.62	15.60		
-10	-15.60	15.92		
-8	-16.25	17.22		
-6	-16.90	17.55		
-4	-17.55	18.20		
-1	-17.55	18.85		
1	-17.87	19.17		
4	-17.87	19.17		
6	-17.87	18.85		
9	-17.55	18.85		
11	-17.55	18.85		
13	-17.55	18.52		
16	-17.22	18.20		
17	-16.90	17.87		
20	-16.57	17.55		
22	-15.92	16.57		
24	-15.27	15.92		
26	-14.30	14.62		
28	-13.00	13.65		
30	-11.70	12.02		
32	-10.07	10.40		
33	-8.45	8.77		
35	-6.50	6.82		
36	-4.23	4.88		
37	-1.95	2.27		
38	0.32	0.00		
39	2.60	-2.60		
40	4.88	-5.20		
40	7.48	-8.13		
38	9.75	-11.05		
36	12.67	-13.65		
34	14.95	-16.25		
33	-166.72	-18.85		
30	-166.72	-21.12		
27	18.52	-23.07		
25	20.80	-25.67		
21	-166.72	-27.30		
18	24.05	-28.60		
15	25.35	-30.22		
12	27.30	-31.52		
8	28.27	-32.50		
